"","SITE","SOIL","Ece","EC","Cle","pHe","pH.1.5","OM","OC","Nt","P","P2O5","M","SP","M.SP"
"MSHM16709","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16710","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16711","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16712","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16713","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16714","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16715","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16716","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16717","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16718","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16719","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16720","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16721","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16722","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16723","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16724","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16725","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16726","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16727","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16728","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16729","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16730","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16731","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16732","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16733","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16734","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16735","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16736","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16737","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16738","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16739","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16740","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16741","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16742","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16743","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16744","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16745","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16746","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16747","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16748","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16749","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16750","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16751","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16752","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16753","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16754","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16755","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16756","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16757","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16758","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16759","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16760","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16761","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16762","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16763","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16764","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16765","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16766","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16767","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16768","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16769","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16770","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16771","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16772","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16773","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16774","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16775","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16776","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16777","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16778","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16779","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16780","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16781","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16782","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16783","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16784","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16785","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16786","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16787","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16788","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16789","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16790","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16791","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16792","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16793","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16794","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16795","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16796","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16797","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16798","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16799","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16800","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16801","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16802","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16803","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16804","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16805","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16806","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16807","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16808","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16809","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16810","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16811","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16812","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16813","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16814","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16815","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16816","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16817","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16818","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16819","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16820","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16821","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16822","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16823","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16824","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16825","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16826","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16827","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16828","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16829","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16830","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16831","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16832","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16833","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16834","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16835","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16836","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16837","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16838","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16839","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16840","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16841","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16842","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16843","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16844","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16845","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16846","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16847","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16848","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16849","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16850","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16851","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16852","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16853","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16854","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16855","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16856","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16857","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16858","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16859","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16860","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16861","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16862","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16863","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16864","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16865","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16866","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16867","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16868","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16869","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16870","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16871","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16872","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16873","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16874","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16875","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16876","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16877","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16878","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16879","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16880","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16881","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16882","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16883","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16884","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16885","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16886","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16887","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16888","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16889","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16890","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16891","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16892","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16893","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16894","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16895","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16896","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
