Sample ID ,Eurotiales,Diaporthales,Ophiostomatales,Boletales ,Amphisphaeriales,Saccharomycetales,Hypocreales,Pleosporales,Xylariales,Sordariales,Unknown
MSHM177,0,0,0,0,0,0,0,0,0,0,0
MSHM178,0,0,0,0,0,0,0,0,0,0,0
MSHM179,0,0,0,0,0,0,0,0,0,0,0
MSHM180,0,0,0,0,0,0,0,0,0,0,0
MSHM181,0,0,0,0,0,0,0,0,0,0,0
MSHM182,0,0,0,0,0,0,0,0,0,0,0
MSHM183,0,0,0,0,0,0,0,0,0,0,0
MSHM184,0,0,0,0,0,0,0,0,0,0,0
MSHM185,0,0,0,0,0,0,0,0,0,0,0
MSHM186,0,0,0,0,0,0,0,0,0,0,0
MSHM187,0,0,0,0,0,0,0,0,0,0,0
MSHM188,0,0,0,0,0,0,0,0,0,0,0
MSHM189,0,0,0,0,0,0,0,0,0,0,0
MSHM190,0,0,0,0,0,0,0,0,0,0,0
MSHM191,0,0,0,0,0,0,0,0,0,0,0
MSHM192,0,0,0,0,0,0,0,0,0,0,0
MSHM193,0,0,0,0,0,0,0,0,0,0,0
MSHM194,0,0,0,0,0,0,0,0,0,0,0
MSHM195,0,0,0,0,0,0,0,0,0,0,0
MSHM196,0,0,0,0,0,0,0,0,0,0,0
MSHM197,0,0,0,0,0,0,0,0,0,0,0
MSHM198,0,0,0,0,0,0,0,0,0,0,0
MSHM199,0,0,0,0,0,0,0,0,0,0,0
MSHM200,0,0,0,0,0,0,0,0,0,0,0
MSHM201,0,0,0,0,0,0,0,0,0,0,0
MSHM202,0,0,0,0,0,0,0,0,0,0,0
MSHM203,0,0,0,0,0,0,0,0,0,0,0
MSHM204,0,0,0,0,0,0,0,0,0,0,0
MSHM205,0,0,0,0,0,0,0,0,0,0,0
MSHM206,0,0,0,0,0,0,0,0,0,0,0
MSHM207,0,0,0,0,0,0,0,0,0,0,0
MSHM208,0,0,0,0,0,0,0,0,0,0,0
MSHM209,0,0,0,0,0,0,0,0,0,0,0
MSHM210,0,0,0,0,0,0,0,0,0,0,0
MSHM211,0,0,0,0,0,0,0,0,0,0,0
MSHM212,0,0,0,0,0,0,0,0,0,0,0
MSHM213,0,0,0,0,0,0,0,0,0,0,0
MSHM214,0,0,0,0,0,0,0,0,0,0,0
MSHM215,0,0,0,0,0,0,0,0,0,0,0
MSHM216,0,0,0,0,0,0,0,0,0,0,0
MSHM217,0,0,0,0,0,0,0,0,0,0,0
MSHM218,0,0,0,0,0,0,0,0,0,0,0
MSHM219,0,0,0,0,0,0,0,0,0,0,0
MSHM220,0,0,0,0,0,0,0,0,0,0,0
MSHM221,0,0,0,0,0,0,0,0,0,0,0
MSHM222,0,0,0,0,0,0,0,0,0,0,0
MSHM223,0,0,0,0,0,0,0,0,0,0,0
MSHM224,0,0,0,0,0,0,0,0,0,0,0
